Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,57.74591796,57.83782128,57.91440738,58.01090586,58.0139693,58.07217474,58.17326839,58.17480011,58.19930766,58.21462488,58.26057654,58.27589376,58.2789572,58.2789572,58.2789572,58.2789572,58.28202065,58.28202065,58.28048893,58.28048893,58.28661581,58.28814754,58.28814754,58.28814754,58.28814754,58.28814754,58.27436204,58.26670343,58.26670343,58.26670343,58.25138621,58.25138621,58.1043409,57.91900254,57.82709922,57.8255675,57.88377294,58.00171553,57.82709922,57.82709922,57.82709922,57.82709922,58.06757957,58.06911129,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06911129,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,,
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.85706265,45.88112617,45.89716852,45.92123205,45.9372744,45.96133793,45.98540146,46.00946499,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04475816,46.08165557,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.04154969,45.96133793,45.96133793,46.03352852,46.19395203,46.19395203,46.19395203,46.19395203,46.27416379,46.27416379,46.75543435,46.83564611,47.31691666,47.31691666,47.47734018,47.47734018,47.47734018,47.47734018,,
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.96350365,44.96350365,45,44.89051095,45.1459854,45.25547445,45.40145985,45.25547445,45.0729927,44.89051095,43.79562044,42.84671533,41.82481752,40.94890511,39.41605839,39.23357664,40.47445255,40.65693431,40.76642336,40.80291971,40.72992701,40.65693431,40.51094891,40.62043796,40.58394161,40.54744526,40.54744526,40.76642336,40.51094891,40.91240876,41.13138686,41.13138686,41.09489051,41.09489051,41.13138686,41.27737226,41.42335766,41.56934307,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306748,43.84306748,43.83211679,43.84306748,43.33211857,42.8573007,42.85766602,43.12773544,,
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,53.19148936,53.19148936,51.06382979,51.06382979,51.06382979,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.40425532,48.61702209,48.63829917,48.53191376,46.3829771,46.34042699,44.19149034,44.17021325,44.19149034,42.06383076,42.06383076,39.9148941,40.02127546,40.02127546,40.02127546,39.95744827,,
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,27.83564273,27.82656433,27.84552218,27.84792529,27.86697214,27.8661711,27.91859446,27.94502864,28.00332626,28.07043527,28.29828549,28.34697067,28.33185186,28.3905057,28.35436995,28.42922257,28.44577737,28.49410671,28.50745736,28.60180193,28.22857125,28.25257927,28.30486041,28.79897851,29.21956304,29.65408208,30.14317856,30.58935717,31.0401462,31.53460073,31.63937661,31.74128166,32.4586569,33.13348638,33.74254179,34.38554871,34.97826829,35.7112798,36.32958095,36.31059636,36.30658227,36.36950821,36.41664963,36.48436202,36.54050096,36.48922135,36.49416292,36.41295443,36.37226089,36.42599021,36.44080821,36.47229995,36.53450274,36.60747488,36.62475947,36.61084951,,
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,2.928752464,2.928752464,2.928752464,2.928752464,2.942833005,2.956913545,2.956913545,2.956913545,2.956913545,2.985074627,2.985074627,2.985074627,2.999155168,3.013235708,3.027316249,3.04139679,3.05547733,3.069557871,3.083638412,3.139960574,3.196282737,3.196282737,3.266685441,3.266685441,3.308927063,3.351168685,3.351168685,3.365249226,3.365249226,4.012954097,4.364967615,4.773303295,4.998591946,5.237961138,5.392847085,5.519571952,5.632216277,5.674457899,7.335961701,7.772458462,7.983666573,8.039988736,7.871022247,7.871022247,7.913263869,7.654181577,7.569698333,7.668262118,5.532244352,5.594198645,5.540692763,5.374542554,5.412559756,5.456209518,5.460433509,5.474514049,,
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,47.24758741,47.23954851,47.19350749,47.14746646,47.10142544,47.05538442,47.0093434,46.96330238,46.91726136,46.87122034,46.82517932,46.7791383,46.73309728,47.05282659,47.00715097,46.96074455,46.91470353,46.86866251,46.7495405,46.54527915,46.57816559,46.61287906,46.64759253,46.682306,46.71701947,46.75282915,46.78827343,46.8237177,46.85770036,46.89241383,46.92237703,46.95818671,46.99326559,47.0312677,47.8254753,49.09032444,50.35188494,51.56009632,52.63036734,52.71367966,52.54230476,53.89028352,54.18260746,54.53814645,54.51804918,54.33571212,54.33571212,54.33571212,,
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09589041,41.48226203,42.14963119,43.69511767,45.87284861,46.78609062,46.64559185,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301104,61.53494993,61.42606424,61.33825251,60.94134176,59.64523975,59.11485774,59.11485774,59.03406924,58.89357047,58.89708637,,
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16.00000024,16.00000024,16.00000024,17.5,20,20,23.49999905,23.94999981,24.00000095,22.5,22.5,25.19999981,25,25,25,24.00000095,24.00000095,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048,,
